player,season,GP_sum,MIN_sum,FG_accuracy,3P_accuracy,FT_accuracy,points_per_min,overall_shooting_accuracy
Aaron Doornekamp,2019 - 2020,56,943.7,0.4395,0.4183,0.7381,0.3084,0.4617
Aaron Fleetwood,2009 - 2010,62,986.0,0.4248,0.2653,0.5161,0.3225,0.4034
Aaron Fuller,2014 - 2015,18,660.6,0.5782,0.2222,0.5368,0.7735,0.5613
Aaron Fuller,2019 - 2020,21,197.9,0.6364,0.25,0.5,0.3992,0.5867
Aaron Geramipoor,2015 - 2016,56,948.6,0.6314,0.0,0.6759,0.5187,0.6413
Aaron Gordon,2015 - 2016,78,1863.1,0.4732,0.2958,0.6684,0.3859,0.4869
Aaron Gordon,2016 - 2017,80,2298.0,0.4543,0.2884,0.7189,0.4434,0.464
Aaron Gordon,2017 - 2018,58,1909.2,0.4335,0.3363,0.6978,0.5353,0.4518
Aaron Gordon,2018 - 2019,83,2796.4,0.4504,0.3515,0.7169,0.4728,0.4711
Aaron Gordon,2019 - 2020,62,2017.2,0.4368,0.308,0.6741,0.4432,0.4552
Aaron Granger,2003 - 2004,50,1533.8,0.4693,0.375,0.7105,0.4603,0.488
Aaron Gray,2010 - 2011,6,86.8,0.6923,nan,0.375,0.2419,0.5714
Aaron Harper,2005 - 2006,37,1299.0,0.4716,0.3434,0.761,0.4819,0.5025
Aaron Harper,2006 - 2007,40,1397.0,0.5094,0.4146,0.75,0.5225,0.5447
Aaron Harper,2008 - 2009,36,1064.0,0.4848,0.3933,0.7034,0.5028,0.4986
Aaron Harper,2011 - 2012,44,1399.0,0.5103,0.3835,0.7366,0.6362,0.5334
Aaron Harper,2012 - 2013,28,1022.2,0.467,0.3915,0.8125,0.7239,0.5098
Aaron Harper,2015 - 2016,35,856.3,0.4857,0.3829,0.8393,0.4905,0.489
Aaron Harper,2017 - 2018,38,1188.6,0.4301,0.3505,0.8333,0.477,0.4756
Aaron Harper,2019 - 2020,32,1238.0,0.4864,0.4274,0.7829,0.5452,0.514
Aaron Harrison,2015 - 2016,13,464.9,0.519,0.2917,0.7158,0.7055,0.5395
Aaron Harrison,2018 - 2019,43,1275.4,0.4308,0.4229,0.7945,0.4822,0.4906
Aaron Harrison,2019 - 2020,38,1134.9,0.4442,0.3868,0.7958,0.4908,0.4904
Aaron Haynes,2011 - 2012,43,1671.5,0.5867,0.1111,0.8765,0.7089,0.6682
Aaron Haynes,2012 - 2013,60,1572.5,0.5476,0.2917,0.8159,0.7154,0.609
Aaron Haynes,2013 - 2014,56,1290.9,0.5151,0.2812,0.7987,0.7785,0.5899
Aaron Haynes,2014 - 2015,55,1489.0,0.5138,0.2,0.7659,0.7314,0.5707
Aaron Haynes,2016 - 2017,46,1511.2,0.5292,0.3333,0.7731,0.7186,0.5776
Aaron Haynes,2017 - 2018,54,1750.5,0.5494,0.3333,0.8047,0.7398,0.5966
Aaron Haynes,2019 - 2020,42,531.0,0.4887,0.2414,0.7928,0.7514,0.5477
Aaron Holiday,2019 - 2020,70,1689.2,0.4195,0.3957,0.837,0.3895,0.4558
Aaron Jackson,2010 - 2011,43,1138.3,0.4587,0.4257,0.8542,0.412,0.5192
Aaron Jackson,2011 - 2012,56,1435.1,0.4796,0.368,0.7669,0.3986,0.5143
Aaron Jackson,2012 - 2013,30,551.5,0.4679,0.3023,0.7727,0.2702,0.5
Aaron Jackson,2013 - 2014,30,517.8,0.486,0.3023,0.8235,0.28,0.5054
Aaron Jackson,2014 - 2015,28,608.4,0.5423,0.4082,0.7714,0.3304,0.5487
Aaron Jackson,2015 - 2016,24,368.9,0.4556,0.2895,0.6667,0.2955,0.4474
Aaron Jackson,2016 - 2017,34,736.6,0.5189,0.4769,0.7347,0.3516,0.5452
Aaron Jackson,2017 - 2018,37,1195.9,0.5508,0.4062,0.7688,0.6372,0.568
Aaron Jackson,2018 - 2019,47,1558.7,0.56,0.4009,0.8084,0.7339,0.5825
Aaron Jackson,2019 - 2020,27,746.3,0.4513,0.2903,0.8313,0.3899,0.5094
Aaron Johnson,2012 - 2013,29,742.0,0.4392,0.2115,0.7536,0.2601,0.4758
Aaron Johnson,2015 - 2016,33,1075.6,0.4648,0.3506,0.7244,0.3561,0.5143
Aaron Johnson,2016 - 2017,41,1182.7,0.4763,0.378,0.7466,0.4219,0.519
Aaron Johnson,2017 - 2018,42,1221.5,0.4748,0.3922,0.7386,0.4822,0.5052
Aaron Johnson,2018 - 2019,32,859.5,0.5354,0.4505,0.6813,0.4014,0.549
Aaron Jones,2016 - 2017,51,1271.6,0.5119,0.2765,0.6721,0.5088,0.4862
Aaron Jones,2017 - 2018,53,1494.0,0.6318,0.3226,0.6556,0.5549,0.6003
Aaron Jones,2018 - 2019,22,443.5,0.5263,0.1875,0.5652,0.3134,0.4675
Aaron Jones,2019 - 2020,42,1169.6,0.6057,0.2632,0.5306,0.4241,0.542
Aaron Lucas,2003 - 2004,14,453.2,0.5676,0.4074,0.619,0.4766,0.541
Aaron McGhee,2011 - 2012,41,1101.6,0.4893,0.1667,0.7569,0.5238,0.573
Aaron McKie,1999 - 2000,92,2283.0,0.4224,0.359,0.8305,0.3465,0.483
Aaron McKie,2000 - 2001,99,3286.0,0.4562,0.3419,0.7732,0.3694,0.4947
Aaron McKie,2001 - 2002,5,146.0,0.4348,0.375,0.7,0.363,0.4583
Aaron McKie,2002 - 2003,92,2690.0,0.4396,0.3471,0.8378,0.3026,0.4871
Aaron McKie,2003 - 2004,75,2110.0,0.4593,0.436,0.7568,0.3265,0.493
Aaron McKie,2004 - 2005,73,1201.0,0.4295,0.3231,0.625,0.1324,0.413
Aaron Miles,2006 - 2007,48,1428.8,0.4545,0.4112,0.68,0.3443,0.4832
Aaron Miles,2007 - 2008,34,806.8,0.467,0.3269,0.7748,0.3904,0.5359
Aaron Miles,2008 - 2009,10,321.6,0.3895,0.25,0.697,0.3172,0.4392
Aaron Miles,2009 - 2010,14,328.0,0.5522,0.5714,0.775,0.3323,0.6316
Aaron Mitchell,2003 - 2004,31,765.0,0.4061,0.3672,0.82,0.3582,0.4447
Aaron Mitchell,2014 - 2015,6,139.3,0.4483,0.2,0.5556,0.4594,0.4419
Aaron Mitchell,2015 - 2016,14,303.4,0.4356,0.2381,0.725,0.4021,0.4815
Aaron Nelson,2018 - 2019,16,599.7,0.4438,0.3364,0.7595,0.6337,0.4704
Aaron Perez,2017 - 2018,42,937.6,0.5585,0.3958,0.8943,0.4533,0.6353
Aaron Perez,2018 - 2019,29,1000.8,0.5654,0.2439,0.8333,0.3577,0.5989
Aaron Perez,2019 - 2020,35,883.8,0.6355,0.5,0.8478,0.387,0.6938
Aaron Pettway,2007 - 2008,36,693.0,0.5598,nan,0.5694,0.4372,0.5621
Aaron Pettway,2009 - 2010,6,160.8,0.5758,nan,0.7059,0.3109,0.62
Aaron Redpath,2017 - 2018,43,866.0,0.3846,0.3529,0.8113,0.3614,0.4194
Aaron Redpath,2018 - 2019,32,884.0,0.3643,0.3469,0.7209,0.3145,0.3922
Aaron Rountree,2016 - 2017,43,1576.2,0.392,0.3164,0.7685,0.3274,0.4182
Aaron Roye,2012 - 2013,30,997.0,0.41,0.3641,0.8091,0.4895,0.4596
Aaron Roye,2013 - 2014,36,1119.0,0.375,0.3237,0.6906,0.4245,0.4397
Aaron Roye,2015 - 2016,29,1040.0,0.3821,0.3315,0.7708,0.374,0.4286
Aaron Roye,2016 - 2017,30,1040.0,0.4137,0.3731,0.6471,0.3923,0.4325
Aaron Spears,2011 - 2012,38,758.3,0.4173,0.3226,0.6795,0.3627,0.4656
Aaron Valdes,2017 - 2018,39,724.3,0.5129,0.3738,0.7215,0.4625,0.5167
Aaron Valdes,2018 - 2019,50,1257.4,0.5186,0.3775,0.7719,0.4827,0.549
Aaron Valdes,2019 - 2020,48,863.3,0.4885,0.3534,0.6818,0.4286,0.5
